,,,,,,,,,,,,,,,,,
Dantex,,,,,,,,,,,,,,,,,
,Серия ADVANCE PRO PLUS 2 INVERTER,,инвертор,wi-fi,труба жидкостная,труба газовая,кабель межблочный,кабель питания,автомат эл,настенный кронштейн,Кронштейн с планкой Tecnosystemi ,гарантия,подключение питания,"max длинна трубопровода, м","max перепад высот, м",Короб и фасонные части к нему,"РРЦ, руб"
,,EACS/I-09HSM/N8,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,25,10,OPT 62,2140
,,EACS/I-12HSM/N8,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,25,10,OPT 62,2490
,,EACS/I-18HSM/N8,да,да,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),5  лет,Наружный блок,30,20,OPT 75,4140
,,EACS/I-24HSM/N8,да,да,"1/2""(12,7мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),5  лет,Наружный блок,50,25,OPT 102,5150
GREE,,,,,,,,,,,,,,,,,
,AIRY INVERTER R32 WHITE,,,,,,,,,,,,,,,,
,,GWH09AVCXB-K6DNA1B(white)  ,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,15,10,OPT 62,3386
,,GWH12AVCXD-K6DNA1A(white)  ,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,20,10,OPT 62,3554
,,GWH18AVDXE-K6DNA1A(white)  ,да,да,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),5  лет,Наружный блок,25,10,OPT 75,5209
,,GWH24AVEXF-K6DNA1A(white)  ,да,да,"1/2""(12,7мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),5  лет,Наружный блок,25,10,OPT 102,6204
,,,,,,,,,,,,,,,,,
,AIRY INVERTER R32 BLACK,,,,,,,,,,,,,,,,
,,GWH09AVCXB-K6DNA1B(black),да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,15,10,OPT 62,3503
,,GWH12AVCXD-K6DNA1A(black),да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,20,10,OPT 62,3726
,,GWH18AVDXE-K6DNA1A(black),да,да,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),5  лет,Наружный блок,25,10,OPT 75,5290
,,GWH24AVEXF-K6DNA1A(black),да,да,"1/2""(12,7мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),5  лет,Наружный блок,25,10,OPT 102,6392
,,,,,,,,,,,,,,,,,
,AIRY INVERTER R32 GOLD,,,,,,,,,,,,,,,,
,,GWH09AVCXB-K6DNA1B(champagne),да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,15,10,OPT 62,3503
,,GWH12AVCXD-K6DNA1A(champagne),да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,20,10,OPT 62,3726
,,GWH18AVDXE-K6DNA1A(champagne),да,да,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),5  лет,Наружный блок,25,10,OPT 75,5290
,,GWH24AVEXF-K6DNA1A(champagne),да,да,"1/2""(12,7мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),5  лет,Наружный блок,25,10,OPT 102,6392
,,,,,,,,,,,,,,,,,
,PULAR  ,,,,,,,,,,,,,,,,
,,GWH09AGAXA-K3NNA1A,нет,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,к внутреннему блоку,15,10,OPT 62,1 447
,,GWH12AGBXB-K3NNA1B,нет,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,к внутреннему блоку,20,10,OPT 62,1 970
,,GWH18AGCXD-K3NNA1B,нет,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),5  лет,к внутреннему блоку,25,10,OPT 75,3 579
,,GWH24AADXE-K3NNA1A,нет,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),5  лет,к внутреннему блоку,30,10,OPT 102,4 432
,,,,,,,,,,,,,,,,,
,LYRA INVERTER R32 WHITE,,,,,,,,,,,,,,,,
,,GWH09ACC-K6DNA1F(white),да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,15,10,OPT 62,2 914
,,GWH12ACC-K6DNA1F(white)  ,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,20,10,OPT 62,3 036
,,GWH18ACD-K6DNA1I (white)   ,да,да,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),5  лет,Наружный блок,25,10,OPT 75,4 701
,,GWH24ACE-K6DNA1I (white)    ,да,да,"1/2""(12,7мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),5  лет,Наружный блок,25,10,OPT 102,6 102
,,,,,,,,,,,,,,,,,
,LYRA INVERTER R32 BLACK,,,,,,,,,,,,,,,,
,,GWH09ACC-K6DNA1F(black),да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,15,10,OPT 62,2 980
,,GWH12ACC-K6DNA1F(black),да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,20,10,OPT 62,3 087
,,GWH18ACD-K6DNA1I(black),да,да,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),5  лет,Наружный блок,25,10,OPT 75,4 920
,,GWH24ACE-K6DNA1I(black),да,да,"1/2""(12,7мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),5  лет,Наружный блок,25,10,OPT 102,6 148
,,,,,,,,,,,,,,,,,
,LYRA INVERTER R32 GOLD,,,,,,,,,,,,,,,,
,,GWH09ACC-K6DNA1F (champagne),да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,15,10,OPT 62,3 011
,,GWH12ACC-K6DNA1F (champagne),да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,20,10,OPT 62,3 107
,,GWH18ACD-K6DNA1I (champagne),да,да,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),5  лет,Наружный блок,25,10,OPT 75,4 920
,,GWH24ACE-K6DNA1I (champagne),да,да,"1/2""(12,7мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),5  лет,Наружный блок,25,10,OPT 102,6 148
,,,,,,,,,,,,,,,,,
Hisense,,,,,,,,,,,,,,,,,
,NEO Premium Classic A 2025 WI-FI,,,,,,,,,,,,,,,,
,,AS-07HW4SYDTG035,нет,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,15,8,OPT 62,1481
,,AS-10HW4SYDTG5,нет,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,20,8,OPT 62,1608
,,AS-18HW4SMATG015,нет,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),4 года ,к внутреннему блоку,20,8,OPT 75,3460
,,,,,,,,,,,,,,,,,
,ERA Classic A R32 ,,,,,,,,,,,,,,,,
,,AS-09HR4RLRKC01,нет,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,15,8,OPT 62,1220
,,AS-12HR4RLRKC01,нет,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,15,8,OPT 62,1560
,,AS-18HR4RMSKC00,нет,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),4 года ,к внутреннему блоку,20,10,OPT 75,2580
,,AS-24HR4RBSKC00,нет,опция,"1/4"" (6,35мм)","5/8""(15,9мм)","6х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),4 года ,к внутреннему блоку,20,10,OPT 102,3150
,,,,,,,,,,,,,,,,,
,PREMIUM Design Super DC Inverter 2025 WI-FI,,,,,,,,,,,,,,,,
,,AS-10UW4RVETG01,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,20,8,OPT 62,2548
,,AS-13UW4RVETG01,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,20,8,OPT 62,2864
,,AS-18UW4RXATG03,да,да,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),4 года ,к внутреннему блоку,20,10,OPT 75,4645
,,,,,,,,,,,,,,,,,
,RED CRYSTAL SUPER DC Inverter,,,,,,,,,,,,,,,,
,,AS-10UW4RVETG01(R ),да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,20,8,OPT 62,2457
,,AS-13UW4RVETG01(R ),да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,20,8,OPT 62,2773
,,,,,,,,,,,,,,,,,
,CITY DC Inverter NEW 2025,,,,,,,,,,,,,,,,
,,AS-09UW4RYRCA05G/AS-09UW4RYRCA05W,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,15,8,OPT 62,2481
,,AS-13UW4RYRCA04G/AS-13UW4RYRCA04W,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,15,8,OPT 62,28899
,,AS-18UW4RMSCA01G/AS-18UW4RMSCA01W,да,да,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),4 года ,к внутреннему блоку,20,10,OPT 75,4807
,,AS-24UW4RBTCA00G/AS-24UW4RBTCA00W,да,да,"3/8"" (9,53мм)","5/8""(15,9мм)","6х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),4 года ,к внутреннему блоку,20,10,OPT 102,5858
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Если монтажник выбирает, например - добавить дренажный насос, то  к материалах будет обязательно шлан виниловый прозрачный D6х9 мм",,,,,,,,,,,,,,,,
,Во всех остальных случаях без дренажного насоса будет шланг гофр. 16мм дренажный,,,,,,,,,,,,,,,,
,"Если мы дренаж монтируем в штробе, то обязательно появляется полипропиленовая труба, муфты к ней и повороты. В прайс по материалам я их уже добавил.",,,,,,,,,,,,,,,,
,Универсальный финишный фланец с фиксатором дренажа RA  от Ø 62 до Ø 74 мм - подходит к любым моделям,,,,,,,,,,,,,,,,
,Универсальный финишный фланец RFE Ø 62 до Ø 100 мм - подходит к любым моделям,,,,,,,,,,,,,,,,
,"автомат электрический не часто применяется при монтаже, но время от времени такой запрос от заказчика есть и тогда мы включаем его список материалов",,,,,,,,,,,,,,,,
,"Подставка разборная под наружный блок кондиционера 935х500х315 (2мм) - по сути подходит к любому наружному блоку кондиционера. На нее мы монтируем кондиционер, когда кровля плоская. Часто для него нужен еще ",,,,,,,,,,,,,,,,
,"SBR EXTREME-20 600 c креплением, резьбовой пластиной типа B и шайбой  - эта штука как раз для варинтов, когда на крышу плоскую нужно поставить наружку. Можно использовать с рамой, можно без",,,,,,,,,,,,,,,,
