,,,,,,,,,,,,,,,,,
Dantex,,,,,,,,,,,,,,,,,
,Серия ADVANCE PRO PLUS 2 INVERTER,,инвертор,wi-fi,труба жидкостная,труба газовая,кабель межблочный,кабель питания,автомат эл,настенный кронштейн,Кронштейн с планкой Tecnosystemi ,гарантия,подключение питания,"max длинна трубопровода, м","max перепад высот, м",Короб и фасонные части к нему,"РРЦ, руб"
,,RK-18SAT2/RK-18SAT2E,нет,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),4 года ,к внутреннему блоку,15,5,OPT 75,2480
,,RK-24SAT2/RK-24SAT2E,нет,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),4 года ,к внутреннему блоку,25,10,OPT 102,3160
,,,,,,,,,,,,,,,,,
,Серия ECO NEW,,,,,,,,,,,,,,,,
,,RK-09ENT4/RK-09ENT4E,нет,нет,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,15,5,OPT 62,1400
,,RK-12ENT4/RK-12ENT4E,нет,нет,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,15,5,OPT 62,1575
,,RK-18ENT4/RK-18ENT4E,нет,нет,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),4 года ,к внутреннему блоку,15,5,OPT 75,2345
,,,,,,,,,,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),,,,,,
,Серия CONCORDE INVERTER,,,,,,,,,,,,,,,,
,,RK-09SCDGI/RK-09SCDGIE,да,нет,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,Наружный блок,15,10,OPT 62,1995
,,RK-12SCDGI/RK-12SCDGIE,да,нет,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,Наружный блок,20,10,OPT 62,2065
